ln_wage,educ,servseg,educ_servseg,exp,exp_sq,fem,cont,reg_i,age
8.29404964,0,0,0,11,121,1,0,Coast,26
8.853665428,0,0,0,22,484,1,1,Coast,37
8.342839804,0,0,0,2,4,0,1,Coast,20
8.006367568,0,0,0,21,441,1,1,Coast,36
8.29404964,0,1,0,24,576,1,1,Coast,42
8.160518247,0,0,0,34,1156,1,0,Coast,49
8.070906089,0,0,0,31,961,1,0,Coast,46
8.612503371,0,0,0,23,529,0,0,Coast,34
9.179881164,1,1,1,37,1369,0,1,Coast,59
8.070906089,0,0,0,4,16,0,0,Coast,19
7.718685495,0,0,0,49,2401,1,0,Coast,55
7.718685495,0,0,0,49,2401,1,0,Coast,55
7.919356191,0,0,0,57,3249,0,0,Coast,63
7.919356191,0,0,0,58,3364,0,0,Coast,64
7.649692624,0,0,0,19,361,1,1,Coast,25
7.60090246,0,0,0,17,289,1,0,Coast,26
7.649692624,0,0,0,8,64,1,1,Coast,19
7.649692624,0,0,0,17,289,1,1,Coast,26
7.696212639,0,0,0,21,441,1,0,Coast,27
7.740664402,0,0,0,24,576,1,1,Coast,35
7.824046011,0,0,0,13,169,0,1,Coast,24
7.901007052,0,0,0,13,169,0,0,Coast,24
